id,name,gender,language,accent,preview-url,provider,provider-id,type,is-active,metadata,wpm
g5CIjZEefAph4nQFvHAz,Ethan,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/g5CIjZEefAph4nQFvHAz/26acfa99-fdec-43b8-b2ee-e49e75a3ac16.mp3,elevenlabs,g5CIjZEefAph4nQFvHAz,standard,,"{""labels"":{""accent"":""American"",""description"":""soft"",""age"":""young"",""gender"":""male"",""use_case"":""ASMR""}}",117.22730526177
iP95p4xoKVk53GoZ742B,Chris,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/iP95p4xoKVk53GoZ742B/3f4bde72-cc48-40dd-829f-57fbf906f4d7.mp3,elevenlabs,iP95p4xoKVk53GoZ742B,standard,1,"{""labels"":{""accent"":""American"",""description"":""casual"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""conversational""}}",153.07727058015
jBpfuIE2acCO8z3wKNLl,Gigi,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/jBpfuIE2acCO8z3wKNLl/3a7e4339-78fa-404e-8d10-c3ef5587935b.mp3,elevenlabs,jBpfuIE2acCO8z3wKNLl,standard,,"{""labels"":{""accent"":""American"",""description"":""childlish"",""age"":""young"",""gender"":""female"",""use_case"":""animation""}}",153.34299276691
jsCqWAovK2LkecY7zXl4,Freya,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/jsCqWAovK2LkecY7zXl4/8e1f5240-556e-4fd5-892c-25df9ea3b593.mp3,elevenlabs,jsCqWAovK2LkecY7zXl4,standard,,"{""labels"":{""accent"":""American"",""description"":""expressive"",""age"":""young"",""gender"":""female"",""use_case"":""characters""}}",131.04537180988
nPczCjzI2devNBz1zQrb,Brian,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/nPczCjzI2devNBz1zQrb/2dd3e72c-4fd3-42f1-93ea-abc5d4e5aa1d.mp3,elevenlabs,nPczCjzI2devNBz1zQrb,standard,1,"{""labels"":{""accent"":""American"",""description"":""deep"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""narration""}}",151.12542746224
oWAxZDx7w5VEj9dCyTzz,Grace,female,en,"American (South)",https://storage.googleapis.com/eleven-public-prod/premade/voices/oWAxZDx7w5VEj9dCyTzz/84a36d1c-e182-41a8-8c55-dbdd15cd6e72.mp3,elevenlabs,oWAxZDx7w5VEj9dCyTzz,standard,,"{""labels"":{""accent"":""American (South)"",""description"":""pleasant"",""age"":""young"",""gender"":""female"",""use_case"":""narration""}}",137.04545565218
onwK4e9ZLuTAKqWW03F9,Daniel,male,en,British,https://storage.googleapis.com/eleven-public-prod/premade/voices/onwK4e9ZLuTAKqWW03F9/7eee0236-1a72-4b86-b303-5dcadc007ba9.mp3,elevenlabs,onwK4e9ZLuTAKqWW03F9,standard,1,"{""labels"":{""accent"":""British"",""description"":""authoritative"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""news""}}",122.47271484872
pFZP5JQG7iQjIQuC4Bku,Lily,female,en,British,https://storage.googleapis.com/eleven-public-prod/premade/voices/pFZP5JQG7iQjIQuC4Bku/89b68b35-b3dd-4348-a84a-a3c13a3c2b30.mp3,elevenlabs,pFZP5JQG7iQjIQuC4Bku,standard,1,"{""labels"":{""accent"":""British"",""description"":""warm"",""age"":""middle-aged"",""gender"":""female"",""use_case"":""narration""}}",136.00323895335
pMsXgVXv3BLzUgSXRplE,Serena,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/pMsXgVXv3BLzUgSXRplE/d61f18ed-e5b0-4d0b-a33c-5c6e7e33b053.mp3,elevenlabs,pMsXgVXv3BLzUgSXRplE,standard,,"{""labels"":{""accent"":""American"",""description"":""pleasant"",""age"":""middle-aged"",""gender"":""female"",""use_case"":""narration""}}",133.33168767507
pNInz6obpgDQGcFmaJgB,Adam,male,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/pNInz6obpgDQGcFmaJgB/d6905d7a-dd26-4187-bfff-1bd3a5ea7cac.mp3,elevenlabs,pNInz6obpgDQGcFmaJgB,standard,,"{""labels"":{""accent"":""american"",""description"":""deep"",""age"":""middle aged"",""gender"":""male"",""use_case"":""narration""}}",142.64947792847
piTKgcLEGmPE4e6mEKli,Nicole,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/piTKgcLEGmPE4e6mEKli/c269a54a-e2bc-44d0-bb46-4ed2666d6340.mp3,elevenlabs,piTKgcLEGmPE4e6mEKli,standard,,"{""labels"":{""accent"":""American"",""description"":""soft"",""age"":""young"",""gender"":""female"",""use_case"":""ASMR""}}",124.82953346298
pqHfZKP75CvOlQylNhV4,Bill,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/pqHfZKP75CvOlQylNhV4/d782b3ff-84ba-4029-848c-acf01285524d.mp3,elevenlabs,pqHfZKP75CvOlQylNhV4,standard,1,"{""labels"":{""accent"":""American"",""description"":""trustworthy"",""age"":""old"",""gender"":""male"",""use_case"":""narration""}}",130.1508698184
t0jbNlBVZ17f02VDIeMI,Jessie,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/t0jbNlBVZ17f02VDIeMI/e26939e3-61a4-4872-a41d-33922cfbdcdc.mp3,elevenlabs,t0jbNlBVZ17f02VDIeMI,standard,,"{""labels"":{""accent"":""American"",""description"":""raspy"",""age"":""old"",""gender"":""male"",""use_case"":""characters""}}",136.19417201633
yoZ06aMxZJJ28mfd3POQ,Sam,male,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/yoZ06aMxZJJ28mfd3POQ/b017ad02-8d18-4456-ad92-55c85ecf6363.mp3,elevenlabs,yoZ06aMxZJJ28mfd3POQ,standard,,"{""labels"":{""accent"":""american"",""description"":""raspy"",""age"":""young"",""gender"":""male"",""use_case"":""narration""}}",155.61416767435
z9fAnlkpzviPz146aGWa,Glinda,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/z9fAnlkpzviPz146aGWa/cbc60443-7b61-4ebb-b8e1-5c03237ea01d.mp3,elevenlabs,z9fAnlkpzviPz146aGWa,standard,,"{""labels"":{""accent"":""American"",""description"":""witch"",""age"":""middle-aged"",""gender"":""female"",""use_case"":""characters""}}",124.58135229221
zcAOhNBS3c14rBihAFp1,Giovanni,male,en,Italian,https://storage.googleapis.com/eleven-public-prod/premade/voices/zcAOhNBS3c14rBihAFp1/e7410f8f-4913-4cb8-8907-784abee5aff8.mp3,elevenlabs,zcAOhNBS3c14rBihAFp1,standard,,"{""labels"":{""accent"":""Italian"",""description"":""foreigner"",""age"":""young"",""gender"":""male"",""use_case"":""narration""}}",129.9298011646
zrHiDhphv9ZnVXBqCLjz,Mimi,female,en,Swedish,https://storage.googleapis.com/eleven-public-prod/premade/voices/zrHiDhphv9ZnVXBqCLjz/decbf20b-0f57-4fac-985b-a4f0290ebfc4.mp3,elevenlabs,zrHiDhphv9ZnVXBqCLjz,standard,,"{""labels"":{""accent"":""Swedish"",""description"":""childish"",""age"":""young"",""gender"":""female"",""use_case"":""animation""}}",109.91740629183
2Lb1en5ujrODDIqmp7F3,"Jhenny Antiques",female,es,"latin american",https://storage.googleapis.com/eleven-public-prod/custom/voices/2Lb1en5ujrODDIqmp7F3/q4yhTMl09IVyvr9aLc0s.mp3,elevenlabs,2Lb1en5ujrODDIqmp7F3,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""calm"",""accent"":""latin american"",""gender"":""female"",""age"":""middle_aged"",""use_case"":""narrative_story""}}",108.56019522394
gD1IexrzCvsXPHUuT0s3,"Sara Martin",female,es,peninsular,https://storage.googleapis.com/eleven-public-prod/8RYUsFHsalUXjwVG0LjhNwH1j022/voices/gD1IexrzCvsXPHUuT0s3/b19247aa-6014-45bb-b7ef-5ab51463202f.mp3,elevenlabs,gD1IexrzCvsXPHUuT0s3,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""upbeat"",""accent"":""peninsular"",""gender"":""female"",""age"":""young"",""use_case"":""conversational""}}",142.36373018911
9oPKasc15pfAbMr7N6Gs,Valeria,female,es,argentine,https://storage.googleapis.com/eleven-public-prod/custom/voices/9oPKasc15pfAbMr7N6Gs/in9QWOsJ1UDpVIraOQ4Z.mp3,elevenlabs,9oPKasc15pfAbMr7N6Gs,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""confident"",""accent"":""argentine"",""gender"":""female"",""age"":""middle_aged"",""use_case"":""social_media""}}",148.94668968353
RgXx32WYOGrd7gFNifSf,"Eva Dorado",female,es,peninsular,https://storage.googleapis.com/eleven-public-prod/database/user/KqMBSe0CH3auEqHfMjFzMNM47FA3/voices/RgXx32WYOGrd7gFNifSf/aOsdSXCmiXzUHVMRbOgH.mp3,elevenlabs,RgXx32WYOGrd7gFNifSf,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""soft"",""accent"":""peninsular"",""gender"":""female"",""age"":""middle_aged"",""use_case"":""narrative_story""}}",135.71910594902
2rigMbVWLdqtBSCahJFX,"Tatiana Martin",female,es,"latin american",https://storage.googleapis.com/eleven-public-prod/database/user/8RYUsFHsalUXjwVG0LjhNwH1j022/voices/2rigMbVWLdqtBSCahJFX/h42L452UXdOFeirGlerd.mp3,elevenlabs,2rigMbVWLdqtBSCahJFX,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""calm"",""accent"":""latin american"",""gender"":""female"",""age"":""middle_aged"",""use_case"":""narrative_story""}}",127.05622532074
9F4C8ztpNUmXkdDDbz3J,"Dan Dan",male,es,american,https://storage.googleapis.com/eleven-public-prod/oDQDaQK0SGT9AtdG8VDe17L4KjX2/voices/9F4C8ztpNUmXkdDDbz3J/4d3e2bc3-b9f8-4bf0-84b2-22e0c15102f6.mp3,elevenlabs,9F4C8ztpNUmXkdDDbz3J,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""excited"",""accent"":""american"",""gender"":""male"",""age"":""young"",""use_case"":""social_media""}}",152.92340052355
y6WtESLj18d0diFRruBs,"David Martin",male,es,peninsular,https://storage.googleapis.com/eleven-public-prod/custom/voices/y6WtESLj18d0diFRruBs/7Qb5EH9F6PQH4MaYO20c.mp3,elevenlabs,y6WtESLj18d0diFRruBs,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""deep"",""accent"":""peninsular"",""gender"":""male"",""age"":""young"",""use_case"":""informative_educational""}}",142.39976815983
erKgR0s8Y67t4iiHuA9R,"Martin Osborne",male,es,peninsular,https://storage.googleapis.com/eleven-public-prod/database/user/8RYUsFHsalUXjwVG0LjhNwH1j022/voices/erKgR0s8Y67t4iiHuA9R/medUZR8NLqYLVSCNycvq.mp3,elevenlabs,erKgR0s8Y67t4iiHuA9R,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""confident"",""accent"":""peninsular"",""gender"":""male"",""age"":""middle_aged"",""use_case"":""informative_educational""}}",125.98817132706
aAtR3uAVlEaQIWGd9EDO,Dany,male,es,"latin american",https://storage.googleapis.com/eleven-public-prod/custom/voices/aAtR3uAVlEaQIWGd9EDO/zegQetLba3KEEnEzACDH.mp3,elevenlabs,aAtR3uAVlEaQIWGd9EDO,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""excited"",""accent"":""latin american"",""gender"":""male"",""age"":""middle_aged"",""use_case"":""social_media""}}",140.11993851276
rBqbBncz61jpuaOTI1GW,"Juan Manuel",male,es,"latin american",https://storage.googleapis.com/eleven-public-prod/database/user/sWk6RrKcgTTtANEpWXoeXeZuwE02/voices/rBqbBncz61jpuaOTI1GW/5625054e-8501-4f87-aa7f-ee35acabfb24.mp3,elevenlabs,rBqbBncz61jpuaOTI1GW,standard,1,"{""labels"":{""language"":""es"",""descriptive"":""casual"",""accent"":""latin american"",""gender"":""male"",""age"":""middle_aged"",""use_case"":""conversational""}}",168.65773638127
MbbPUteESkJWr4IAaW35,"Felix",male,de,German,"https://storage.googleapis.com/eleven-public-prod/database/user/9PqnSliMGiOs5eSzCb5t0E068Md2/voices/MbbPUteESkJWr4IAaW35/khB3f7uihUVQkegLVPRs.mp3",elevenlabs,MbbPUteESkJWr4IAaW35,standard,1,"{""labels"":{""language"":""de"",""descriptive"":""casual"",""gender"":""male"",""age"":""middle_aged"",""use_case"":""conversational""}}",146
Dt2jDzhoZC0pZw5bmy2S,"Emilia",female,de,German,"https://storage.googleapis.com/eleven-public-prod/P6pUmq42X5NZv0RV97gQ0XrmuXL2/voices/Dt2jDzhoZC0pZw5bmy2S/bbed96aa-bdaf-409c-8fd4-f3af1a33447d.mp3",elevenlabs,Dt2jDzhoZC0pZw5bmy2S,standard,1,"{""labels"":{""language"":""de"",""descriptive"":""casual"",""gender"":""female"",""age"":""young"",""use_case"":""narrative_story""}}",123
7eVMgwCnXydb3CikjV7a,"Lea",female,de,German,"https://storage.googleapis.com/eleven-public-prod/custom/voices/7eVMgwCnXydb3CikjV7a/zMitELWPfkgqNXLr2X9t.mp3",elevenlabs,7eVMgwCnXydb3CikjV7a,standard,1,"{""labels"":{""language"":""de"",""descriptive"":""casual"",""gender"":""female"",""age"":""middle_aged"",""use_case"":""narrative_story""}}",133
t3hJ92dgZhDVtsff084B,"Chris Basetta",male,de,German,"https://storage.googleapis.com/eleven-public-prod/database/user/ziip9kMrVTVuk4QStOKUWqbvNpn1/voices/t3hJ92dgZhDVtsff084B/459cLRSqwtDinVzuyBzv.mp3",elevenlabs,t3hJ92dgZhDVtsff084B,standard,1,"{""labels"":{""language"":""de"",""descriptive"":""casual"",""gender"":""male"",""age"":""young"",""use_case"":""social_media""}}",151
